date,season,team1,team2,elo1,elo2,elo_prob1,score1,score2
1990-11-04,1990,phi,nwe,1535.982,1347.878,0.8110709126600844,48,20
1990-11-04,1990,nyj,dal,1414.362,1357.663,0.668310979369536,24,9
1990-11-04,1990,min,den,1461.196,1535.339,0.4868452017983398,27,22
1990-11-04,1990,kan,rai,1541.941,1593.237,0.5197114202194231,9,7
1990-11-04,1990,gnb,sfo,1455.782,1746.856,0.2139317543749814,20,24
1990-11-04,1990,det,was,1483.919,1570.338,0.4692145721238481,38,41
1990-11-04,1990,cle,buf,1444.217,1607.065,0.3627938725471372,0,42
1990-11-04,1990,cin,nor,1517.099,1488.023,0.6321717480776337,7,21
1990-11-04,1990,pit,atl,1554.206,1424.11,0.7545564022147989,21,9
1990-11-04,1990,mia,crd,1589.882,1380.223,0.8293551956695376,23,3
1990-11-04,1990,tam,chi,1406.843,1580.475,0.3485688228788595,6,26
1990-11-04,1990,ram,oti,1505.958,1519.599,0.5733778433631854,17,13
1990-11-04,1990,sea,sdg,1507.626,1473.663,0.6386886000286242,14,31
1990-11-05,1990,clt,nyg,1436.263,1658.771,0.287677861722842,7,24
1990-11-11,1990,chi,atl,1600.701,1412.545,0.8111167771168228,30,24
1990-11-11,1990,buf,crd,1633.193,1370.986,0.868018916406219,45,14
1990-11-11,1990,sdg,den,1512.323,1516.873,0.5861272052274323,19,7
1990-11-11,1990,nyj,mia,1431.79,1599.12,0.3568508312081017,3,17
1990-11-11,1990,dal,sfo,1340.235,1753.1,0.1189436316934907,6,24
1990-11-11,1990,kan,sea,1552.429,1468.966,0.7015357555175037,16,17
1990-11-11,1990,det,min,1471.035,1479.662,0.5804227531708435,7,17
1990-11-11,1990,ram,nyg,1519.377,1674.29,0.3734180894625035,7,31
1990-11-11,1990,rai,gnb,1582.749,1449.537,0.7578631912664938,16,29
1990-11-11,1990,nwe,clt,1336.467,1420.744,0.4722865991299186,10,13
1990-11-11,1990,nor,tam,1523.791,1386.617,0.7620237957119325,35,7
1990-11-12,1990,phi,was,1547.393,1583.222,0.541882074886139,28,14
1990-11-18,1990,kan,sdg,1542.0,1532.986,0.6049321624280758,27,10
1990-11-18,1990,was,nor,1558.734,1538.469,0.6203007136832297,31,17
1990-11-18,1990,sfo,tam,1759.148,1371.939,0.9310623809793982,31,7
1990-11-18,1990,sea,min,1479.395,1508.229,0.5518598822453578,21,24
1990-11-18,1990,nyg,det,1697.386,1442.467,0.8631380394799405,20,0
1990-11-18,1990,den,chi,1496.21,1607.293,0.4340674236213434,13,16
1990-11-18,1990,crd,gnb,1363.022,1493.499,0.4068709568174781,21,24
1990-11-18,1990,clt,nyj,1433.725,1413.322,0.6204877971120064,17,14
1990-11-18,1990,cle,oti,1418.089,1506.18,0.4668182210867486,23,35
1990-11-18,1990,cin,pit,1481.33,1565.771,0.4720513153998742,27,3
1990-11-18,1990,buf,nwe,1641.157,1323.486,0.9005034790908683,14,0
1990-11-18,1990,atl,phi,1405.952,1571.88,0.3587052243150118,23,24
1990-11-18,1990,ram,dal,1496.281,1334.186,0.7870549478799284,21,24
1990-11-19,1990,mia,rai,1617.588,1538.787,0.6958863967380088,10,13
1990-11-22,1990,dal,was,1358.52,1578.532,0.2906311278440247,27,17
1990-11-22,1990,det,den,1435.192,1484.422,0.5226792816489788,40,27
1990-11-25,1990,phi,nyg,1576.635,1704.661,0.4102802841379714,31,13
1990-11-25,1990,nyj,pit,1403.193,1531.48,0.4099168180638586,7,24
1990-11-25,1990,nor,atl,1518.672,1401.198,0.7408526206009902,10,7
1990-11-25,1990,sdg,sea,1510.892,1463.839,0.6558893681137054,10,13
1990-11-25,1990,sfo,ram,1762.83,1471.948,0.8858082518240558,17,28
1990-11-25,1990,min,chi,1523.786,1619.081,0.4565121493774942,41,13
1990-11-25,1990,crd,nwe,1352.067,1318.896,0.637635849070146,34,14
1990-11-25,1990,cle,mia,1394.39,1596.945,0.3117758184570395,13,30
1990-11-25,1990,cin,clt,1515.621,1443.854,0.68725003456956,20,34
1990-11-25,1990,gnb,tam,1504.454,1368.258,0.7610013586325534,20,10
1990-11-25,1990,rai,kan,1559.431,1564.094,0.5859694015147949,24,27
1990-11-26,1990,oti,buf,1529.879,1645.748,0.4273122783633473,27,24
1990-12-02,1990,sdg,nyj,1491.731,1380.159,0.7342766505100214,38,17
1990-12-02,1990,nwe,kan,1297.774,1580.799,0.2218267028266219,7,37
1990-12-02,1990,pit,cin,1554.514,1475.931,0.6956207569658531,12,16
1990-12-02,1990,cle,ram,1377.428,1524.466,0.3840841472100922,23,38
1990-12-02,1990,was,mia,1541.933,1613.907,0.4899649549521887,42,20
1990-12-02,1990,tam,atl,1357.756,1394.563,0.540484169144436,23,17
1990-12-02,1990,sea,oti,1483.0,1546.133,0.5026868031188825,13,10
1990-12-02,1990,buf,phi,1629.493,1612.387,0.6160084488832366,30,23
1990-12-02,1990,chi,det,1581.969,1460.206,0.7455644934527534,23,17
1990-12-02,1990,crd,clt,1373.189,1483.544,0.4350971654208429,20,17
1990-12-02,1990,dal,nor,1395.119,1525.306,0.4072738844004797,17,13
1990-12-02,1990,den,rai,1459.407,1542.726,0.4736612430959431,20,23
1990-12-02,1990,min,gnb,1560.899,1514.955,0.6544470971249509,23,7
1990-12-03,1990,sfo,nyg,1710.311,1668.909,0.6485106804530927,7,3
1990-12-09,1990,clt,buf,1467.552,1644.889,0.3437417460711113,7,31
1990-12-09,1990,cin,sfo,1499.886,1721.103,0.2892031384107232,17,20
1990-12-09,1990,ram,nor,1544.999,1505.645,0.6458187061007665,20,24
1990-12-09,1990,was,chi,1574.019,1591.096,0.5685326650933868,10,9
1990-12-09,1990,pit,nwe,1530.559,1283.913,0.8574143702746502,24,3
1990-12-09,1990,oti,cle,1532.356,1356.895,0.7996654582459941,58,14
1990-12-09,1990,nyg,min,1658.117,1579.539,0.6956146627797537,23,15
1990-12-09,1990,mia,phi,1581.821,1596.992,0.5712220387664781,23,20
1990-12-09,1990,kan,den,1594.66,1446.383,0.7734194649807703,31,20
1990-12-09,1990,gnb,sea,1496.315,1496.776,0.5918253307620716,14,20
1990-12-09,1990,atl,crd,1376.906,1389.181,0.5753002177028841,13,24
1990-12-10,1990,det,rai,1451.079,1555.75,0.4431556652087993,31,38
1990-12-15,1990,nwe,was,1276.192,1579.873,0.2019810792491161,10,25
1990-12-15,1990,nyg,buf,1670.674,1665.943,0.5990249160643784,13,17
1990-12-16,1990,nor,pit,1527.468,1538.28,0.5773565756398892,6,9
1990-12-16,1990,kan,oti,1604.926,1546.105,0.6710131539659852,10,27
1990-12-16,1990,det,chi,1432.975,1585.242,0.3769887492906014,38,21
1990-12-16,1990,dal,crd,1414.78,1418.475,0.5873206316181456,41,10
1990-12-16,1990,cle,atl,1343.146,1347.612,0.5862444991872152,13,10
1990-12-16,1990,mia,sea,1593.446,1520.505,0.6887007590937649,24,17
